web-scraper-order,web-scraper-start-url,link_toko,link_toko-href,nama_toko,Jml_produk,chat,follower,rating_toko,bergabung,alamat_toko,link_produk,link_produk-href,nama_produk,promo_produk,terjual,gratis_ongkir,favorit
1669355888-1,https://shopee.co.id/mall/brands/11042849,69slam,https://shopee.co.id/69slam,69Slam Official Shop,439,46% (Hitungan Jam),"7,5RB","4.8 (1,7RB Penilaian)",24 Bulan Lalu,,69slam Sandal pria ARSIKI-ATDiskon 20%Murah LebayRp285.000Rp171.000110,https://shopee.co.id/69slam-Sandal-pria-ARSIKI-AT-i.340815435.12428025981?sp_atk=5ae4996f-cd6b-4def-b855-32d19d0440ec&xptdk=5ae4996f-cd6b-4def-b855-32d19d0440ec,69slam Sandal pria ARSIKI-AT,Diskon 20%,110, min. belanja Rp300.000,Favorit (31)
1669355888-2,https://shopee.co.id/mall/brands/11042849,4cmstore,https://shopee.co.id/4cmstore,4CM Official Shop,508,36% (Hitungan Jam),"60,8RB","4.7 (28,5RB Penilaian)",5 Tahun Lalu,,4CM Boxer black fireDiskon 50%Murah LebayRp99.00010RB+,https://shopee.co.id/4CM-Boxer-black-fire-i.32984432.7155464356?sp_atk=4ba4b08e-d450-4297-b10d-3e5785732bec&xptdk=4ba4b08e-d450-4297-b10d-3e5785732bec,4CM Boxer black fire,Diskon 50%,10RB+, min. belanja Rp20.000,Favorit (8RB)
1669355888-3,https://shopee.co.id/mall/brands/11042849,4.20official,https://shopee.co.id/4.20official,4.20 Official Shop,121,78% (Hitungan Jam),51RB,"4.9 (7,3RB Penilaian)",4 Tahun Lalu,,4.20 T-Shirt Philosophy Mandala NavyRp170.000Rp69.300336,https://shopee.co.id/4.20-T-Shirt-Philosophy-Mandala-Navy-i.87828273.10739275158?sp_atk=6e9cd381-2a33-4209-a562-08e5ca649976&xptdk=6e9cd381-2a33-4209-a562-08e5ca649976,4.20 T-Shirt Philosophy Mandala Navy,,336, min. belanja Rp300.000,Favorit (135)
1669355888-4,https://shopee.co.id/mall/brands/11042849,4.20official,https://shopee.co.id/4.20official,4.20 Official Shop,121,78% (Hitungan Jam),51RB,"4.9 (7,3RB Penilaian)",4 Tahun Lalu,,4.20 T-Shirt Philosophy Mandala NavyRp170.000336,https://shopee.co.id/4.20-T-Shirt-Philosophy-Mandala-Navy-i.87828273.10739275158?sp_atk=ce85a22c-403d-4a4d-b450-5f7793712171&xptdk=ce85a22c-403d-4a4d-b450-5f7793712171,4.20 T-Shirt Philosophy Mandala Navy,,336, min. belanja Rp300.000,Favorit (135)
1669355889-5,https://shopee.co.id/mall/brands/11042849,4.20official,https://shopee.co.id/4.20official,4.20 Official Shop,121,78% (Hitungan Jam),51RB,"4.9 (7,3RB Penilaian)",4 Tahun Lalu,,4.20 T-Shirt Philosophy Mandala NavyRp170.000Rp93.500336,https://shopee.co.id/4.20-T-Shirt-Philosophy-Mandala-Navy-i.87828273.10739275158?sp_atk=546c377b-9b6c-4dca-9d69-b70b669a2aef&xptdk=546c377b-9b6c-4dca-9d69-b70b669a2aef,4.20 T-Shirt Philosophy Mandala Navy,,336, min. belanja Rp300.000,Favorit (135)
1669355889-6,https://shopee.co.id/mall/brands/11042849,3secondshop,https://shopee.co.id/3secondshop,3Second Official Shop,"9,2RB",84% (Hitungan Jam),"452,3RB","4.9 (116,4RB Penilaian)",6 Tahun Lalu,,3Second Men Jacket 021021Rp449.50049,https://shopee.co.id/3Second-Men-Jacket-021021-i.18358818.11761195939?sp_atk=40dc660d-16c6-4045-a59e-2f3e6acee390&xptdk=40dc660d-16c6-4045-a59e-2f3e6acee390,3Second Men Jacket 021021,,49,,Favorit (103)
1669355889-7,https://shopee.co.id/mall/brands/11042849,308absltunscrd,https://shopee.co.id/308absltunscrd,308ABSLTUNSCRD Official Shop,"3,2RB",87% (Hitungan Jam),65RB,"4.8 (21,6RB Penilaian)",4 Tahun Lalu,,308 ABSLTUNSCRD - Bracelete Rubber Gitd Think Positive - BlackDiskon 50%Rp25.000Rp93.500184,https://shopee.co.id/308-ABSLTUNSCRD-Bracelete-Rubber-Gitd-Think-Positive-Black-i.93881215.3200350542?sp_atk=94add2bc-0838-4572-8b04-dbeb9fcf8bf7&xptdk=94add2bc-0838-4572-8b04-dbeb9fcf8bf7,308 ABSLTUNSCRD - Bracelete Rubber Gitd Think Positive - Black,Diskon 50%,184, min. belanja Rp40.000,Favorit (65)
1669355889-8,https://shopee.co.id/mall/brands/11042849,3nthreeofficial,https://shopee.co.id/3nthreeofficial,3'NThree Official Shop,241,85% (Hitungan Jam),"7,1RB",4.8 (382 Penilaian),3 Tahun Lalu,,"3Nthree kemeja koko Pria Muslim originalDiskon Rp2,5RBMurah LebayRp249.00032",https://shopee.co.id/3Nthree-kemeja-koko-Pria-Muslim-original-i.184001696.15666321843?sp_atk=b2c0e779-aa55-4b39-bb31-3d15dd955741&xptdk=b2c0e779-aa55-4b39-bb31-3d15dd955741,3Nthree kemeja koko Pria Muslim original,"Diskon Rp2,5RB",32, min. belanja Rp40.000,Favorit (9)
1669355890-9,https://shopee.co.id/mall/brands/11042849,2ndred,https://shopee.co.id/2ndred,2nd Red Official Shop,311,86% (Hitungan Jam),"8,9RB","4.8 (13,1RB Penilaian)",5 Tahun Lalu,,"2nd Red Celana Jeans Legend Slim Fit Premium Bahan Melar Warna Biru Muda 133266Diskon 10%Rp139.850 - Rp151.962Rp93.5004,4RB",https://shopee.co.id/2nd-Red-Celana-Jeans-Legend-Slim-Fit-Premium-Bahan-Melar-Warna-Biru-Muda-133266-i.23917033.1889960272?sp_atk=23c89404-d1de-42c1-803c-a103528dfc95&xptdk=23c89404-d1de-42c1-803c-a103528dfc95,2nd Red Celana Jeans Legend Slim Fit Premium Bahan Melar Warna Biru Muda 133266,Diskon 10%,"4,4RB", min. belanja Rp20.000,"Favorit (4,7RB)"
1669355890-10,https://shopee.co.id/mall/brands/11042849,2fab4you,https://shopee.co.id/2fab4you,2FAB4YOU Official Shop,149,34% (Hitungan Menit),"1,9RB",4.9 (426 Penilaian),4 Tahun Lalu,,2FAB4YOU T-shirt OG FLAMINGO White/Putih - Pria/WanitaRp199.00013,https://shopee.co.id/2FAB4YOU-T-shirt-OG-FLAMINGO-White-Putih-Pria-Wanita-i.73775993.2881168942?sp_atk=5a1c54ef-4702-492f-9011-b2f3924af44f&xptdk=5a1c54ef-4702-492f-9011-b2f3924af44f,2FAB4YOU T-shirt OG FLAMINGO White/Putih - Pria/Wanita,,13,,Favorit (9)
